"pattern_id","strategy_family_id","pattern_name","provenance","expiry_class","observability","source_ids","status"
"PAT-CVD-EXTREME-NONCONFIRM-FLIP-001","STR-CVD-DIVERGENCE","CVD Divergence / New Extreme / Aggressor Flip","WORLD_DERIVED","REACTION","DIRECT","S13 S16","UNVALIDATED"
"PAT-CVD-ABSORPTION-STRUCTUREBREAK-001","STR-CVD-DIVERGENCE","CVD Divergence / Absorption / Structure Break","WORLD_DERIVED","BREAK_ACCEPT","HYBRID","S19 S20","UNVALIDATED"
"PAT-CVD-FAILED-BREAK-SQUEEZE-001","STR-CVD-DIVERGENCE","CVD Divergence / Failed Break / Squeeze","WORLD_DERIVED","BREAK_ACCEPT","DIRECT","S08","UNVALIDATED"
"PAT-CVD-RETEST-WEAKER-001","STR-CVD-DIVERGENCE","CVD Divergence / Retest / Weaker Aggressor","WORLD_DERIVED","RETEST","DIRECT","S01 S13","UNVALIDATED"
"PAT-CVD-BEAR-ABSFAIL-BIDBREAK-OIUNWIND-001","STR-CVD-DIVERGENCE","CVD Divergence / Bearish / Absorption Failure / Buy-Wall Break / OI Unwind","USER_DEFINED","OI_LAGGED","LIMITED","","UNVALIDATED"
"PAT-ABS-FULL-THREE-ELEMENT-001","STR-ABSORPTION-REVERSAL","Absorption Reversal / Absorption / Fade / Opposite Aggression","WORLD_DERIVED","REACTION","HYBRID","S01","UNVALIDATED"
"PAT-ABS-SUPPORT-HOLD-BOUNCE-001","STR-ABSORPTION-REVERSAL","Absorption Reversal / Support Hold / Sell Absorption / Bounce","WORLD_DERIVED","REACTION","HYBRID","S10 S20","UNVALIDATED"
"PAT-ABS-RESISTANCE-HOLD-BOUNCE-001","STR-ABSORPTION-REVERSAL","Absorption Reversal / Resistance Hold / Buy Absorption / Rejection","WORLD_DERIVED","REACTION","HYBRID","S10 S16","UNVALIDATED"
"PAT-ABS-STOPSWEEP-SNAPBACK-001","STR-ABSORPTION-REVERSAL","Absorption Reversal / Stop Sweep / Iceberg Hold / Snapback","WORLD_DERIVED","REACTION","INFERRED","S17 S18","UNVALIDATED"
"PAT-ABS-PULLBACK-MINORREVERSAL-001","STR-ABSORPTION-REVERSAL","Absorption Reversal / Pullback End / Trend Resume","WORLD_DERIVED","RETEST","HYBRID","S03 S23","UNVALIDATED"
"PAT-EXH-BUYER-DOUBLE-FADE-001","STR-EXHAUSTION-REVERSAL","Exhaustion Reversal / Buyer Fade / Weaker Retest","WORLD_DERIVED","RETEST","DIRECT","S01","UNVALIDATED"
"PAT-EXH-SELLER-DOUBLE-FADE-001","STR-EXHAUSTION-REVERSAL","Exhaustion Reversal / Seller Fade / Weaker Retest","WORLD_DERIVED","RETEST","DIRECT","S01","UNVALIDATED"
