"binding_id","variant_id","variant_name","base_pattern_id","base_edge_id","strategy_family_id","edge_type","from_state_id","to_state_id","predicate_id","predicate_text","predicate_classes","side_binding","terminal_direction","condition_selectors","condition_candidate_ids","condition_candidate_keys","contradiction_condition_ids","contradiction_condition_keys","freshness_condition_ids","freshness_condition_keys","location_code","location_condition_ids","location_availability","evaluation_contract","observability","implementation_status","expiry_class","binding_status"
"VAR-CVD-EXTREME-NONCONFIRM-FLIP-LONG-SESSION_EXTREME-001::E00","VAR-CVD-EXTREME-NONCONFIRM-FLIP-LONG-SESSION_EXTREME-001","CVD Divergence / New Extreme / Aggressor Flip / LONG / Session Low","PAT-CVD-EXTREME-NONCONFIRM-FLIP-001","","STR-CVD-DIVERGENCE","LOCATION_ARM","S00_ARMED_BY_HOOK","V00_LOCATION_CONTEXT_CONFIRMED","LOC::SESSION_EXTREME","Session Low context confirmed","LOCATION_CONTEXT","DYNAMIC_FROM_PATTERN_CONTEXT","LONG","VARIANT_LOCATION","CD-G03-013 CD-G03-014","distance_to_session_low relation_to_session_low","","","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027 CD-G01-001 CD-G01-002 CD-G01-004 CD-G01-020","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete depth_book_synced depth_sequence_contiguous depth_event_fresh market_state_atomic","SESSION_EXTREME","CD-G03-013 CD-G03-014","AVAILABLE","At least one calibrated location route confirms context; candidates are OR routes.","DIRECT","VARIANT_LOCATION_SELECTOR","REACTION","UNVALIDATED"
"VAR-CVD-EXTREME-NONCONFIRM-FLIP-LONG-SESSION_EXTREME-001::E01","VAR-CVD-EXTREME-NONCONFIRM-FLIP-LONG-SESSION_EXTREME-001","CVD Divergence / New Extreme / Aggressor Flip / LONG / Session Low","PAT-CVD-EXTREME-NONCONFIRM-FLIP-001","PAT-CVD-EXTREME-NONCONFIRM-FLIP-001::E01","STR-CVD-DIVERGENCE","ADVANCE","V00_LOCATION_CONTEXT_CONFIRMED","S01_OBSERVED","OPR-001","key level接近","LOCATION_CONTEXT","DYNAMIC_FROM_PATTERN_CONTEXT","LONG","VARIANT_LOCATION","CD-G03-013 CD-G03-014","distance_to_session_low relation_to_session_low","","","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027 CD-G01-001 CD-G01-002 CD-G01-004 CD-G01-020","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete depth_book_synced depth_sequence_contiguous depth_event_fresh market_state_atomic","SESSION_EXTREME","CD-G03-013 CD-G03-014","AVAILABLE","ALL predicate classes true with fresh evidence after prior transition; no snapshot shortcut.","DIRECT","VARIANT_LOCATION_SELECTOR","REACTION","UNVALIDATED"
"VAR-CVD-EXTREME-NONCONFIRM-FLIP-LONG-SESSION_EXTREME-001::E02","VAR-CVD-EXTREME-NONCONFIRM-FLIP-LONG-SESSION_EXTREME-001","CVD Divergence / New Extreme / Aggressor Flip / LONG / Session Low","PAT-CVD-EXTREME-NONCONFIRM-FLIP-001","PAT-CVD-EXTREME-NONCONFIRM-FLIP-001::E02","STR-CVD-DIVERGENCE","ADVANCE","S01_OBSERVED","S02_OBSERVED","OPR-002","priceだけ新極値","PRICE_STRUCTURE","DYNAMIC_FROM_PATTERN_CONTEXT","LONG","SIDE_RESOLVED","CD-G03-021 CD-G03-023 CD-G03-025 CD-G03-027 CD-G09-002 CD-G09-006","distance_to_rolling_1m_high distance_to_rolling_1m_low distance_to_rolling_5m_high distance_to_rolling_5m_low upward_progress_ticks_1s downward_progress_ticks_1s","CD-G16-023 CD-G16-024","upside_breakout_failure downside_breakout_failure","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete","SESSION_EXTREME","CD-G03-013 CD-G03-014","AVAILABLE","ALL predicate classes true with fresh evidence after prior transition; no snapshot shortcut.","DIRECT","DERIVED_EVALUATOR_REQUIRED","REACTION","UNVALIDATED"
"VAR-CVD-EXTREME-NONCONFIRM-FLIP-LONG-SESSION_EXTREME-001::E03","VAR-CVD-EXTREME-NONCONFIRM-FLIP-LONG-SESSION_EXTREME-001","CVD Divergence / New Extreme / Aggressor Flip / LONG / Session Low","PAT-CVD-EXTREME-NONCONFIRM-FLIP-001","PAT-CVD-EXTREME-NONCONFIRM-FLIP-001::E03","STR-CVD-DIVERGENCE","ADVANCE","S02_OBSERVED","S03_OBSERVED","OPR-003","CVD不追随","DELTA_STATE FLOW_PRICE_DIVERGENCE","DYNAMIC_FROM_PATTERN_CONTEXT","LONG","SIDE_RESOLVED","CD-G10-001 CD-G10-002 CD-G10-005 CD-G10-006 CD-G10-009 CD-G10-010 CD-G16-048 CD-G09-002 CD-G09-006","trade_delta_1s trade_delta_5s cvd_change_1s cvd_change_5s cvd_slope_1s cvd_slope_5s flow_price_divergence_active upward_progress_ticks_1s downward_progress_ticks_1s","CD-G10-001 CD-G10-002 CD-G16-021 CD-G16-022","trade_delta_1s trade_delta_5s upside_breakout_follow_through downside_breakout_follow_through","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete","SESSION_EXTREME","CD-G03-013 CD-G03-014","AVAILABLE","ALL predicate classes true with fresh evidence after prior transition; no snapshot shortcut.","DIRECT","COMPOSITE_CONDITION_AVAILABLE DERIVED_EVALUATOR_REQUIRED","REACTION","UNVALIDATED"
"VAR-CVD-EXTREME-NONCONFIRM-FLIP-LONG-SESSION_EXTREME-001::E04","VAR-CVD-EXTREME-NONCONFIRM-FLIP-LONG-SESSION_EXTREME-001","CVD Divergence / New Extreme / Aggressor Flip / LONG / Session Low","PAT-CVD-EXTREME-NONCONFIRM-FLIP-001","PAT-CVD-EXTREME-NONCONFIRM-FLIP-001::E04","STR-CVD-DIVERGENCE","ADVANCE","S03_OBSERVED","S04_OBSERVED","OPR-004","initiator volume減衰","TAPE_AGGRESSION TAPE_FADE TAPE_PARTICIPATION","OBSERVED_INITIATOR_SIDE","LONG","SIDE_RESOLVED","CD-G08-002 CD-G08-014 CD-G08-017 CD-G08-023 CD-G08-026 CD-G08-038 CD-G08-041 CD-G08-047 CD-G10-002 CD-G16-007 CD-G16-008 CD-G16-033 CD-G16-034 CD-G10-014 CD-G04-015 CD-G08-005 CD-G08-029","buy_market_volume_1s buy_large_trade_count_1s buy_trade_rate_1s buy_side_share_1s sell_market_volume_1s sell_large_trade_count_1s sell_trade_rate_1s sell_side_share_1s trade_delta_5s buyer_fade_active seller_fade_active buy_momentum_fading sell_momentum_fading delta_acceleration_5s trade_rate_percentile_1m buy_trade_count_1s sell_trade_count_1s","CD-G16-007 CD-G16-008 CD-G16-009 CD-G16-010 CD-G04-015","buyer_fade_active seller_fade_active buyers_jump_in sellers_jump_in trade_rate_percentile_1m","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete","SESSION_EXTREME","CD-G03-013 CD-G03-014","AVAILABLE","ALL predicate classes true with fresh evidence after prior transition; no snapshot shortcut.","DIRECT","COMPOSITE_CONDITION_AVAILABLE DERIVED_EVALUATOR_REQUIRED","REACTION","UNVALIDATED"
"VAR-CVD-EXTREME-NONCONFIRM-FLIP-LONG-SESSION_EXTREME-001::E05","VAR-CVD-EXTREME-NONCONFIRM-FLIP-LONG-SESSION_EXTREME-001","CVD Divergence / New Extreme / Aggressor Flip / LONG / Session Low","PAT-CVD-EXTREME-NONCONFIRM-FLIP-001","PAT-CVD-EXTREME-NONCONFIRM-FLIP-001::E05","STR-CVD-DIVERGENCE","ADVANCE","S04_OBSERVED","S05_OBSERVED","OPR-005","opposite aggression","TAPE_AGGRESSION","TERMINAL_SIDE","LONG","SIDE_RESOLVED","CD-G08-002 CD-G08-014 CD-G08-017 CD-G08-023 CD-G08-026 CD-G08-038 CD-G08-041 CD-G08-047 CD-G10-002","buy_market_volume_1s buy_large_trade_count_1s buy_trade_rate_1s buy_side_share_1s sell_market_volume_1s sell_large_trade_count_1s sell_trade_rate_1s sell_side_share_1s trade_delta_5s","CD-G16-007 CD-G16-008","buyer_fade_active seller_fade_active","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete","SESSION_EXTREME","CD-G03-013 CD-G03-014","AVAILABLE","ALL predicate classes true with fresh evidence after prior transition; no snapshot shortcut.","DIRECT","DERIVED_EVALUATOR_REQUIRED","REACTION","UNVALIDATED"
"VAR-CVD-EXTREME-NONCONFIRM-FLIP-LONG-SESSION_EXTREME-001::E90","VAR-CVD-EXTREME-NONCONFIRM-FLIP-LONG-SESSION_EXTREME-001","CVD Divergence / New Extreme / Aggressor Flip / LONG / Session Low","PAT-CVD-EXTREME-NONCONFIRM-FLIP-001","PAT-CVD-EXTREME-NONCONFIRM-FLIP-001::E90","STR-CVD-DIVERGENCE","TERMINAL","S05_OBSERVED","S90_ORDER_READY","ENGINE-TERMINAL","LONG_READY","ENGINE_TERMINAL","DYNAMIC_FROM_PATTERN_CONTEXT","LONG","ENGINE_STATE","","","","","CD-G01-009 CD-G01-010 CD-G01-011 CD-G01-016","exchange_clock_aligned receive_clock_monotonic event_order_monotonic duplicate_event_absent","SESSION_EXTREME","CD-G03-013 CD-G03-014","AVAILABLE","Emit direction_READY to risk/execution gate only after prior state completed.","DIRECT","ENGINE_NATIVE","REACTION","UNVALIDATED"
"VAR-CVD-EXTREME-NONCONFIRM-FLIP-LONG-SESSION_EXTREME-001::E98","VAR-CVD-EXTREME-NONCONFIRM-FLIP-LONG-SESSION_EXTREME-001","CVD Divergence / New Extreme / Aggressor Flip / LONG / Session Low","PAT-CVD-EXTREME-NONCONFIRM-FLIP-001","PAT-CVD-EXTREME-NONCONFIRM-FLIP-001::E98","STR-CVD-DIVERGENCE","INVALIDATE","ANY_ACTIVE_STATE","S98_INVALIDATED","INV-001","CVD再整列かつ新価格acceptance","COMPOSITE_INVALIDATION DELTA_STATE FLOW_PRICE_DIVERGENCE PRICE_ACCEPTANCE","DYNAMIC_FROM_PATTERN_CONTEXT","LONG","ANY_MATCHED_ATOM SIDE_RESOLVED","CD-G10-001 CD-G10-002 CD-G10-005 CD-G10-006 CD-G10-009 CD-G10-010 CD-G16-048 CD-G09-002 CD-G09-006 CD-G16-017 CD-G16-018 CD-G11-029 CD-G11-031","trade_delta_1s trade_delta_5s cvd_change_1s cvd_change_5s cvd_slope_1s cvd_slope_5s flow_price_divergence_active upward_progress_ticks_1s downward_progress_ticks_1s acceptance_above_reference acceptance_below_reference acceptance_above_value_session acceptance_below_value_session","CD-G10-001 CD-G10-002 CD-G16-021 CD-G16-022 CD-G16-023 CD-G16-024","trade_delta_1s trade_delta_5s upside_breakout_follow_through downside_breakout_follow_through upside_breakout_failure downside_breakout_failure","CD-G01-009 CD-G01-010 CD-G01-011 CD-G01-016 CD-G01-021 CD-G01-005 CD-G01-019 CD-G01-027","exchange_clock_aligned receive_clock_monotonic event_order_monotonic duplicate_event_absent cross_source_time_aligned trade_event_fresh persistence_confirmed window_complete","SESSION_EXTREME","CD-G03-013 CD-G03-014","AVAILABLE","ANY invalidation atom true terminates instance.","DIRECT","COMPOSITE_CONDITION_AVAILABLE DERIVED_EVALUATOR_REQUIRED ENGINE_NATIVE","REACTION","UNVALIDATED"
"VAR-CVD-EXTREME-NONCONFIRM-FLIP-LONG-SESSION_EXTREME-001::E99","VAR-CVD-EXTREME-NONCONFIRM-FLIP-LONG-SESSION_EXTREME-001","CVD Divergence / New Extreme / Aggressor Flip / LONG / Session Low","PAT-CVD-EXTREME-NONCONFIRM-FLIP-001","PAT-CVD-EXTREME-NONCONFIRM-FLIP-001::E99","STR-CVD-DIVERGENCE","EXPIRE","ANY_ACTIVE_STATE","S99_EXPIRED","ENGINE-EXPIRY","expiry_class=REACTIONの較正済み期限到達","ENGINE_EXPIRY","DYNAMIC_FROM_PATTERN_CONTEXT","LONG","ENGINE_TIME","","","","","CD-G01-009 CD-G01-010 CD-G01-011 CD-G01-016","exchange_clock_aligned receive_clock_monotonic event_order_monotonic duplicate_event_absent","SESSION_EXTREME","CD-G03-013 CD-G03-014","AVAILABLE","Versioned deadline reached before terminal; expire without intent.","DIRECT","ENGINE_NATIVE","REACTION","UNVALIDATED"
"VAR-CVD-EXTREME-NONCONFIRM-FLIP-LONG-PREVIOUS_DAY_EXTREME-001::E00","VAR-CVD-EXTREME-NONCONFIRM-FLIP-LONG-PREVIOUS_DAY_EXTREME-001","CVD Divergence / New Extreme / Aggressor Flip / LONG / Previous Day Low","PAT-CVD-EXTREME-NONCONFIRM-FLIP-001","","STR-CVD-DIVERGENCE","LOCATION_ARM","S00_ARMED_BY_HOOK","V00_LOCATION_CONTEXT_CONFIRMED","LOC::PREVIOUS_DAY_EXTREME","Previous Day Low context confirmed","LOCATION_CONTEXT","DYNAMIC_FROM_PATTERN_CONTEXT","LONG","VARIANT_LOCATION","CD-G03-017 CD-G03-018","distance_to_previous_day_low relation_to_previous_day_low","","","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027 CD-G01-001 CD-G01-002 CD-G01-004 CD-G01-020","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete depth_book_synced depth_sequence_contiguous depth_event_fresh market_state_atomic","PREVIOUS_DAY_EXTREME","CD-G03-017 CD-G03-018","AVAILABLE","At least one calibrated location route confirms context; candidates are OR routes.","DIRECT","VARIANT_LOCATION_SELECTOR","REACTION","UNVALIDATED"
