"variant_edge_id","variant_id","variant_name","base_pattern_id","base_edge_id","strategy_family_id","terminal_direction","edge_type","from_state_id","from_state_name","to_state_id","to_state_name","transition_guard","result","terminal_intent","invalidation_guard","expiry_class","location_code","location_condition_ids","location_availability","observability","provenance","inherited_source_ids"
"VAR-CVD-EXTREME-NONCONFIRM-FLIP-LONG-SESSION_EXTREME-001::E00","VAR-CVD-EXTREME-NONCONFIRM-FLIP-LONG-SESSION_EXTREME-001","CVD Divergence / New Extreme / Aggressor Flip / LONG / Session Low","PAT-CVD-EXTREME-NONCONFIRM-FLIP-001","","STR-CVD-DIVERGENCE","LONG","LOCATION_ARM","S00_ARMED_BY_HOOK","Hookがderived named PatternのObservation Instanceを開始","V00_LOCATION_CONTEXT_CONFIRMED","Session Low context confirmed","location=SESSION_EXTREME; candidates=CD-G03-013 CD-G03-014","ADVANCED","","","REACTION","SESSION_EXTREME","CD-G03-013 CD-G03-014","AVAILABLE","DIRECT","DELTAENGINE_DERIVED_VARIANT","S13 S16"
"VAR-CVD-EXTREME-NONCONFIRM-FLIP-LONG-SESSION_EXTREME-001::E01","VAR-CVD-EXTREME-NONCONFIRM-FLIP-LONG-SESSION_EXTREME-001","CVD Divergence / New Extreme / Aggressor Flip / LONG / Session Low","PAT-CVD-EXTREME-NONCONFIRM-FLIP-001","PAT-CVD-EXTREME-NONCONFIRM-FLIP-001::E01","STR-CVD-DIVERGENCE","LONG","ADVANCE","V00_LOCATION_CONTEXT_CONFIRMED","Session Low context confirmed","S01_OBSERVED","key level接近","direction=LONG; base_guard=key level接近","ADVANCED","","","REACTION","SESSION_EXTREME","CD-G03-013 CD-G03-014","AVAILABLE","DIRECT","DELTAENGINE_DERIVED_VARIANT","S13 S16"
"VAR-CVD-EXTREME-NONCONFIRM-FLIP-LONG-SESSION_EXTREME-001::E02","VAR-CVD-EXTREME-NONCONFIRM-FLIP-LONG-SESSION_EXTREME-001","CVD Divergence / New Extreme / Aggressor Flip / LONG / Session Low","PAT-CVD-EXTREME-NONCONFIRM-FLIP-001","PAT-CVD-EXTREME-NONCONFIRM-FLIP-001::E02","STR-CVD-DIVERGENCE","LONG","ADVANCE","S01_OBSERVED","key level接近","S02_OBSERVED","priceだけ新極値","direction=LONG; base_guard=priceだけ新極値","ADVANCED","","","REACTION","SESSION_EXTREME","CD-G03-013 CD-G03-014","AVAILABLE","DIRECT","DELTAENGINE_DERIVED_VARIANT","S13 S16"
"VAR-CVD-EXTREME-NONCONFIRM-FLIP-LONG-SESSION_EXTREME-001::E03","VAR-CVD-EXTREME-NONCONFIRM-FLIP-LONG-SESSION_EXTREME-001","CVD Divergence / New Extreme / Aggressor Flip / LONG / Session Low","PAT-CVD-EXTREME-NONCONFIRM-FLIP-001","PAT-CVD-EXTREME-NONCONFIRM-FLIP-001::E03","STR-CVD-DIVERGENCE","LONG","ADVANCE","S02_OBSERVED","priceだけ新極値","S03_OBSERVED","CVD不追随","direction=LONG; base_guard=CVD不追随","ADVANCED","","","REACTION","SESSION_EXTREME","CD-G03-013 CD-G03-014","AVAILABLE","DIRECT","DELTAENGINE_DERIVED_VARIANT","S13 S16"
"VAR-CVD-EXTREME-NONCONFIRM-FLIP-LONG-SESSION_EXTREME-001::E04","VAR-CVD-EXTREME-NONCONFIRM-FLIP-LONG-SESSION_EXTREME-001","CVD Divergence / New Extreme / Aggressor Flip / LONG / Session Low","PAT-CVD-EXTREME-NONCONFIRM-FLIP-001","PAT-CVD-EXTREME-NONCONFIRM-FLIP-001::E04","STR-CVD-DIVERGENCE","LONG","ADVANCE","S03_OBSERVED","CVD不追随","S04_OBSERVED","initiator volume減衰","direction=LONG; base_guard=initiator volume減衰","ADVANCED","","","REACTION","SESSION_EXTREME","CD-G03-013 CD-G03-014","AVAILABLE","DIRECT","DELTAENGINE_DERIVED_VARIANT","S13 S16"
"VAR-CVD-EXTREME-NONCONFIRM-FLIP-LONG-SESSION_EXTREME-001::E05","VAR-CVD-EXTREME-NONCONFIRM-FLIP-LONG-SESSION_EXTREME-001","CVD Divergence / New Extreme / Aggressor Flip / LONG / Session Low","PAT-CVD-EXTREME-NONCONFIRM-FLIP-001","PAT-CVD-EXTREME-NONCONFIRM-FLIP-001::E05","STR-CVD-DIVERGENCE","LONG","ADVANCE","S04_OBSERVED","initiator volume減衰","S05_OBSERVED","opposite aggression","direction=LONG; base_guard=opposite aggression","ADVANCED","","","REACTION","SESSION_EXTREME","CD-G03-013 CD-G03-014","AVAILABLE","DIRECT","DELTAENGINE_DERIVED_VARIANT","S13 S16"
"VAR-CVD-EXTREME-NONCONFIRM-FLIP-LONG-SESSION_EXTREME-001::E90","VAR-CVD-EXTREME-NONCONFIRM-FLIP-LONG-SESSION_EXTREME-001","CVD Divergence / New Extreme / Aggressor Flip / LONG / Session Low","PAT-CVD-EXTREME-NONCONFIRM-FLIP-001","PAT-CVD-EXTREME-NONCONFIRM-FLIP-001::E90","STR-CVD-DIVERGENCE","LONG","TERMINAL","S05_OBSERVED","opposite aggression","S90_ORDER_READY","Pattern観察完了。risk／execution gateへOrder Intentを渡せる","direction=LONG; base_terminal=reversal-side ready","ORDER_READY","LONG_READY","","REACTION","SESSION_EXTREME","CD-G03-013 CD-G03-014","AVAILABLE","DIRECT","DELTAENGINE_DERIVED_VARIANT","S13 S16"
"VAR-CVD-EXTREME-NONCONFIRM-FLIP-LONG-SESSION_EXTREME-001::E98","VAR-CVD-EXTREME-NONCONFIRM-FLIP-LONG-SESSION_EXTREME-001","CVD Divergence / New Extreme / Aggressor Flip / LONG / Session Low","PAT-CVD-EXTREME-NONCONFIRM-FLIP-001","PAT-CVD-EXTREME-NONCONFIRM-FLIP-001::E98","STR-CVD-DIVERGENCE","LONG","INVALIDATE","ANY_ACTIVE_STATE","S00からterminal前までの任意active state","S98_INVALIDATED","反証によりObservation Instance終了","CVD再整列かつ新価格acceptance","INVALIDATED","","CVD再整列かつ新価格acceptance","REACTION","SESSION_EXTREME","CD-G03-013 CD-G03-014","AVAILABLE","DIRECT","DELTAENGINE_DERIVED_VARIANT","S13 S16"
"VAR-CVD-EXTREME-NONCONFIRM-FLIP-LONG-SESSION_EXTREME-001::E99","VAR-CVD-EXTREME-NONCONFIRM-FLIP-LONG-SESSION_EXTREME-001","CVD Divergence / New Extreme / Aggressor Flip / LONG / Session Low","PAT-CVD-EXTREME-NONCONFIRM-FLIP-001","PAT-CVD-EXTREME-NONCONFIRM-FLIP-001::E99","STR-CVD-DIVERGENCE","LONG","EXPIRE","ANY_ACTIVE_STATE","S00からterminal前までの任意active state","S99_EXPIRED","観察期限到達によりObservation Instance終了","expiry_class=REACTIONの較正済み期限到達","EXPIRED","","","REACTION","SESSION_EXTREME","CD-G03-013 CD-G03-014","AVAILABLE","DIRECT","DELTAENGINE_DERIVED_VARIANT","S13 S16"
"VAR-CVD-EXTREME-NONCONFIRM-FLIP-LONG-PREVIOUS_DAY_EXTREME-001::E00","VAR-CVD-EXTREME-NONCONFIRM-FLIP-LONG-PREVIOUS_DAY_EXTREME-001","CVD Divergence / New Extreme / Aggressor Flip / LONG / Previous Day Low","PAT-CVD-EXTREME-NONCONFIRM-FLIP-001","","STR-CVD-DIVERGENCE","LONG","LOCATION_ARM","S00_ARMED_BY_HOOK","Hookがderived named PatternのObservation Instanceを開始","V00_LOCATION_CONTEXT_CONFIRMED","Previous Day Low context confirmed","location=PREVIOUS_DAY_EXTREME; candidates=CD-G03-017 CD-G03-018","ADVANCED","","","REACTION","PREVIOUS_DAY_EXTREME","CD-G03-017 CD-G03-018","AVAILABLE","DIRECT","DELTAENGINE_DERIVED_VARIANT","S13 S16"
